,ts_code,symbol,name,area,industry,list_date
0,000006.SZ,000006,深振业A,深圳,区域地产,19920427
1,000008.SZ,000008,神州高铁,北京,运输设备,19920507
2,000010.SZ,000010,美丽生态,深圳,建筑工程,19951027
3,000011.SZ,000011,深物业A,深圳,房产服务,19920330
4,000012.SZ,000012,南玻A,深圳,玻璃,19920228
5,000014.SZ,000014,沙河股份,深圳,全国地产,19920602
6,000016.SZ,000016,深康佳A,深圳,家用电器,19920327
7,000017.SZ,000017,深中华A,深圳,服饰,19920331
8,000019.SZ,000019,深粮控股,深圳,农业综合,19921012
9,000020.SZ,000020,深华发A,深圳,元器件,19920428
10,000021.SZ,000021,深科技,深圳,元器件,19940202
11,000025.SZ,000025,特力A,深圳,汽车服务,19930621
12,000026.SZ,000026,飞亚达,深圳,服饰,19930603
13,000029.SZ,000029,深深房A,深圳,区域地产,19930915
14,000030.SZ,000030,富奥股份,吉林,汽车配件,19930929
15,000031.SZ,000031,大悦城,深圳,全国地产,19931008
16,000032.SZ,000032,深桑达A,深圳,建筑工程,19931028
17,000034.SZ,000034,神州数码,深圳,软件服务,19940509
18,000035.SZ,000035,中国天楹,江苏,环境保护,19940408
19,000036.SZ,000036,华联控股,深圳,全国地产,19940617
20,000037.SZ,000037,深南电A,深圳,火力发电,19940701
21,000040.SZ,000040,东旭蓝天,深圳,新型电力,19940808
22,000042.SZ,000042,中洲控股,深圳,全国地产,19940921
23,000045.SZ,000045,深纺织A,深圳,元器件,19940815
24,000055.SZ,000055,方大集团,深圳,其他建材,19960415
25,000056.SZ,000056,皇庭国际,深圳,其他商业,19960708
26,000058.SZ,000058,深赛格,深圳,商品城,19961226
27,000059.SZ,000059,华锦股份,辽宁,石油加工,19970130
28,000060.SZ,000060,中金岭南,深圳,铅锌,19970123
29,000061.SZ,000061,农产品,深圳,农业综合,19970110
30,000062.SZ,000062,深圳华强,深圳,元器件,19970130
31,000065.SZ,000065,北方国际,北京,建筑工程,19980605
32,000068.SZ,000068,华控赛格,深圳,环境保护,19970611
33,000078.SZ,000078,海王生物,深圳,医药商业,19981218
34,000088.SZ,000088,盐田港,深圳,港口,19970728
35,000089.SZ,000089,深圳机场,深圳,机场,19980420
36,000090.SZ,000090,天健集团,深圳,建筑工程,19990721
37,000096.SZ,000096,广聚能源,深圳,石油贸易,20000724
38,000099.SZ,000099,中信海直,深圳,空运,20000731
39,000151.SZ,000151,中成股份,北京,商贸代理,20000906
40,000153.SZ,000153,丰原药业,安徽,化学制药,20000920
41,000156.SZ,000156,华数传媒,浙江,影视音像,20000906
42,000158.SZ,000158,常山北明,河北,软件服务,20000724
43,000159.SZ,000159,国际实业,新疆,石油贸易,20000926
44,000400.SZ,000400,许继电气,河南,电气设备,19970418
45,000401.SZ,000401,冀东水泥,河北,水泥,19960614
46,000402.SZ,000402,金融街,北京,全国地产,19960626
47,000404.SZ,000404,长虹华意,江西,家用电器,19960619
48,000407.SZ,000407,胜利股份,山东,供气供热,19960703
49,000409.SZ,000409,云鼎科技,山东,软件服务,19960627
50,000410.SZ,000410,沈阳机床,辽宁,机床制造,19960718
51,000411.SZ,000411,英特集团,浙江,医药商业,19960716
52,000413.SZ,000413,东旭光电,河北,元器件,19960925
53,000415.SZ,000415,渤海租赁,新疆,多元金融,19960716
54,000417.SZ,000417,合肥百货,安徽,百货,19960812
55,000419.SZ,000419,通程控股,湖南,百货,19960816
56,000420.SZ,000420,吉林化纤,吉林,化纤,19960802
57,000421.SZ,000421,南京公用,江苏,供气供热,19960806
58,000422.SZ,000422,湖北宜化,湖北,农药化肥,19960815
59,000426.SZ,000426,兴业银锡,内蒙,铅锌,19960828
60,000428.SZ,000428,华天酒店,湖南,酒店餐饮,19960808
61,000429.SZ,000429,粤高速A,广东,路桥,19980220
62,000430.SZ,000430,张家界,湖南,旅游景点,19960829
63,000488.SZ,000488,晨鸣纸业,山东,造纸,20001120
64,000498.SZ,000498,山东路桥,山东,建筑工程,19970609
65,000501.SZ,000501,武商集团,湖北,百货,19921120
66,000503.SZ,000503,国新健康,山东,软件服务,19921130
67,000504.SZ,000504,南华生物,湖南,医疗保健,19921208
68,000505.SZ,000505,京粮控股,海南,食品,19921221
69,000507.SZ,000507,珠海港,广东,港口,19930326
70,000509.SZ,000509,华塑控股,四川,元器件,19930507
71,000510.SZ,000510,新金路,四川,化工原料,19930507
72,000514.SZ,000514,渝开发,重庆,区域地产,19930712
73,000516.SZ,000516,国际医学,陕西,医疗保健,19930809
74,000517.SZ,000517,荣安地产,浙江,区域地产,19930806
75,000518.SZ,000518,四环生物,江苏,生物制药,19930908
76,000520.SZ,000520,凤凰航运,湖北,水运,19931025
77,000521.SZ,000521,长虹美菱,安徽,家用电器,19931018
78,000523.SZ,000523,红棉股份,广东,日用化工,19931108
79,000524.SZ,000524,岭南控股,广东,旅游服务,19931118
80,000526.SZ,000526,学大教育,福建,文教休闲,19931101
81,000528.SZ,000528,柳工,广西,工程机械,19931118
82,000529.SZ,000529,广弘控股,广东,食品,19931118
83,000530.SZ,000530,冰山冷热,辽宁,机械基件,19931208
84,000531.SZ,000531,穗恒运A,广东,火力发电,19940106
85,000532.SZ,000532,华金资本,广东,多元金融,19940103
86,000533.SZ,000533,顺钠股份,广东,电气设备,19940103
87,000534.SZ,000534,万泽股份,广东,生物制药,19940110
88,000536.SZ,000536,华映科技,福建,元器件,19931126
89,000539.SZ,000539,粤电力A,广东,火力发电,19931126
90,000541.SZ,000541,佛山照明,广东,家用电器,19931123
91,000543.SZ,000543,皖能电力,安徽,火力发电,19931220
92,000544.SZ,000544,中原环保,河南,环境保护,19931208
93,000545.SZ,000545,金浦钛业,吉林,化工原料,19931215
94,000546.SZ,000546,金圆股份,吉林,环境保护,19931215
95,000547.SZ,000547,航天发展,福建,通信设备,19931130
96,000548.SZ,000548,湖南投资,湖南,路桥,19931220
97,000550.SZ,000550,江铃汽车,江西,汽车整车,19931201
98,000551.SZ,000551,创元科技,江苏,专用机械,19940106
99,000552.SZ,000552,甘肃能化,甘肃,煤炭开采,19940106
100,000553.SZ,000553,安道麦A,湖北,农药化肥,19931203
101,000554.SZ,000554,泰山石油,山东,石油贸易,19931215
102,000555.SZ,000555,神州信息,深圳,软件服务,19940408
103,000557.SZ,000557,西部创业,宁夏,铁路,19940617
104,000558.SZ,000558,莱茵体育,四川,旅游景点,19940509
105,000559.SZ,000559,万向钱潮,浙江,汽车配件,19940110
106,000560.SZ,000560,我爱我家,云南,房产服务,19940202
107,000561.SZ,000561,烽火电子,陕西,通信设备,19940509
108,000563.SZ,000563,陕国投A,陕西,多元金融,19940110
109,000565.SZ,000565,渝三峡A,重庆,染料涂料,19940408
110,000566.SZ,000566,海南海药,海南,化学制药,19940525
111,000567.SZ,000567,海德股份,海南,多元金融,19940525
112,000570.SZ,000570,苏常柴A,江苏,农用机械,19940701
113,000571.SZ,000571,新大洲A,海南,煤炭开采,19940525
114,000572.SZ,000572,海马汽车,海南,汽车整车,19940808
115,000573.SZ,000573,粤宏远A,广东,电气设备,19940815
116,000576.SZ,000576,甘化科工,广东,电气设备,19940907
117,000581.SZ,000581,威孚高科,江苏,汽车配件,19980924
118,000582.SZ,000582,北部湾港,广西,港口,19951102
119,000586.SZ,000586,汇源通信,四川,通信设备,19951220
120,000589.SZ,000589,贵州轮胎,贵州,汽车配件,19960308
121,000590.SZ,000590,启迪药业,湖南,中成药,19960119
122,000591.SZ,000591,太阳能,重庆,新型电力,19960208
123,000592.SZ,000592,平潭发展,福建,林业,19960327
124,000593.SZ,000593,德龙汇能,四川,供气供热,19960312
125,000595.SZ,000595,宝塔实业,宁夏,机械基件,19960419
126,000597.SZ,000597,东北制药,辽宁,化学制药,19960523
127,000598.SZ,000598,兴蓉环境,四川,水务,19960529
128,000599.SZ,000599,青岛双星,山东,汽车配件,19960430
129,000600.SZ,000600,建投能源,河北,火力发电,19960606
130,000601.SZ,000601,韶能股份,广东,水力发电,19960830
131,000603.SZ,000603,盛达资源,北京,铅锌,19960823
132,000605.SZ,000605,渤海股份,北京,供气供热,19960913
133,000607.SZ,000607,华媒控股,浙江,广告包装,19960830
134,000608.SZ,000608,阳光股份,广西,区域地产,19960919
135,000610.SZ,000610,西安旅游,陕西,旅游服务,19960926
136,000612.SZ,000612,焦作万方,河南,铝,19960926
137,000619.SZ,000619,海螺新材,安徽,其他建材,19961023
138,000623.SZ,000623,吉林敖东,吉林,中成药,19961028
139,000626.SZ,000626,远大控股,江苏,商贸代理,19961128
140,000627.SZ,000627,天茂集团,湖北,保险,19961112
141,000628.SZ,000628,高新发展,四川,建筑工程,19961118
142,000631.SZ,000631,顺发恒业,浙江,综合类,19961122
143,000632.SZ,000632,三木集团,福建,综合类,19961121
144,000633.SZ,000633,合金投资,新疆,小金属,19961112
145,000635.SZ,000635,英力特,宁夏,化工原料,19961120
146,000638.SZ,000638,万方发展,吉林,农业综合,19961126
147,000639.SZ,000639,西王食品,山东,食品,19961126
148,000650.SZ,000650,仁和药业,江西,中成药,19961210
149,000652.SZ,000652,泰达股份,天津,批发业,19961128
150,000655.SZ,000655,金岭矿业,山东,普钢,19961128
151,000657.SZ,000657,中钨高新,海南,小金属,19961205
152,000659.SZ,000659,珠海中富,广东,广告包装,19961203
153,000663.SZ,000663,永安林业,福建,林业,19961206
154,000665.SZ,000665,湖北广电,湖北,影视音像,19961210
155,000668.SZ,000668,荣丰控股,山东,医药商业,19961210
156,000676.SZ,000676,智度股份,广东,互联网,19961224
157,000677.SZ,000677,恒天海龙,山东,化纤,19961226
158,000678.SZ,000678,襄阳轴承,湖北,汽车配件,19970106
159,000679.SZ,000679,大连友谊,辽宁,百货,19970124
160,000680.SZ,000680,山推股份,山东,工程机械,19970122
161,000681.SZ,000681,视觉中国,江苏,互联网,19970121
162,000682.SZ,000682,东方电子,山东,电气设备,19970121
163,000685.SZ,000685,中山公用,广东,水务,19970123
164,000686.SZ,000686,东北证券,吉林,证券,19970227
165,000690.SZ,000690,宝新能源,广东,火力发电,19970128
166,000691.SZ,000691,亚太实业,甘肃,化工原料,19970228
167,000695.SZ,000695,滨海能源,天津,广告包装,19970218
168,000697.SZ,000697,炼石航空,陕西,航空,19970325
169,000698.SZ,000698,沈阳化工,辽宁,石油加工,19970220
170,000700.SZ,000700,模塑科技,江苏,汽车配件,19970228
171,000701.SZ,000701,厦门信达,福建,商贸代理,19970226
172,000702.SZ,000702,正虹科技,湖南,饲料,19970318
173,000705.SZ,000705,浙江震元,浙江,医药商业,19970410
174,000707.SZ,000707,双环科技,湖北,化工原料,19970415
175,000710.SZ,000710,贝瑞基因,四川,医疗保健,19970422
176,000712.SZ,000712,锦龙股份,广东,证券,19970415
177,000713.SZ,000713,丰乐种业,安徽,种植业,19970422
178,000715.SZ,000715,中兴商业,辽宁,百货,19970508
179,000716.SZ,000716,黑芝麻,广西,食品,19970418
180,000717.SZ,000717,中南股份,广东,普钢,19970508
181,000718.SZ,000718,苏宁环球,吉林,区域地产,19970408
182,000719.SZ,000719,中原传媒,河南,出版业,19970331
183,000720.SZ,000720,新能泰山,山东,电气设备,19970509
184,000721.SZ,000721,西安饮食,陕西,酒店餐饮,19970430
185,000722.SZ,000722,湖南发展,湖南,其他建材,19970522
186,000726.SZ,000726,鲁泰A,山东,纺织,20001225
187,000727.SZ,000727,冠捷科技,江苏,元器件,19970520
188,000729.SZ,000729,燕京啤酒,北京,啤酒,19970716
189,000731.SZ,000731,四川美丰,四川,农药化肥,19970617
190,000735.SZ,000735,罗牛山,海南,农业综合,19970611
191,000736.SZ,000736,中交地产,重庆,全国地产,19970425
192,000737.SZ,000737,北方铜业,山西,铜,19970428
193,000751.SZ,000751,锌业股份,辽宁,铅锌,19970626
194,000753.SZ,000753,漳州发展,福建,汽车服务,19970626
195,000755.SZ,000755,山西高速,山西,路桥,19970627
196,000756.SZ,000756,新华制药,山东,化学制药,19970806
197,000757.SZ,000757,浩物股份,四川,汽车服务,19970627
198,000758.SZ,000758,中色股份,北京,铅锌,19970416
199,000759.SZ,000759,中百集团,湖北,超市连锁,19970519
200,000761.SZ,000761,本钢板材,辽宁,普钢,19980115
201,000766.SZ,000766,通化金马,吉林,化学制药,19970430
202,000767.SZ,000767,晋控电力,山西,火力发电,19970609
203,000777.SZ,000777,中核科技,江苏,机械基件,19970710
204,000778.SZ,000778,新兴铸管,河北,钢加工,19970606
205,000779.SZ,000779,甘咨询,甘肃,建筑工程,19970528
206,000782.SZ,000782,美达股份,广东,化纤,19970619
207,000785.SZ,000785,居然之家,湖北,百货,19970711
208,000788.SZ,000788,北大医药,重庆,化学制药,19970616
209,000789.SZ,000789,万年青,江西,水泥,19970923
210,000790.SZ,000790,华神科技,四川,中成药,19980327
211,000791.SZ,000791,甘肃能源,甘肃,水力发电,19971014
212,000793.SZ,000793,华闻集团,海南,出版业,19970729
213,000795.SZ,000795,英洛华,浙江,矿物制品,19970808
